sample	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60
TCGA-BR-4201-01A	0.221767892	0.00244808	0.002787998	0.002174623	0.004073582	0.268668512	0.003543769	0.003607351	0.001511388	0.002753264	0.002480474	0.00265389	0.001839245	0.022978361	0.009363319	0.013636864	0.001143909	0.006898918	0.016010358	0.003027988	0.003415158	0.002709066	0.002115495	0.005421164	0.021238797	0.033047539	0.001233525	0.014489715	0.002377633	0.002467432	0.022379305	0.001349581	0.001559387	0.002141966	0.008799216	0.002946338	0.012274674	0.012270532	0.002395056	0.002054521	0.002084645	0.004208009	0.002902052	0.001880074	0.002542394	0.002106392	0.006081565	0.00142988	0.14432098	0.002911887	0.015264551	0.001657187	0.000851199	0.00215465	0.001704399	0.001807865	0.001444426	0.002107286	0.04006617	0.001358676	0.002169438	0.002650189	0.002193944	0.003016957	0.001029297
TCGA-RD-A8NB-01A	0.198783093	0.002098238	0.004986437	0.003847285	0.007049258	0.249328762	0.003079571	0.005284158	0.004028666	0.00381123	0.004506434	0.004958779	0.005566572	0.018977187	0.005599665	0.022203157	0.001733872	0.016654454	0.02378468	0.009222465	0.015641484	0.0109654	0.004529401	0.008838768	0.064367003	0.015192202	0.002546681	0.018546478	0.00363519	0.004597947	0.051034741	0.002177808	0.00234391	0.004017304	0.006418393	0.008600872	0.005453703	0.006989809	0.002105252	0.005791466	0.003932876	0.00671773	0.006055571	0.003448199	0.004284509	0.003260147	0.007225412	0.003081182	0.033238652	0.00508223	0.009157707	0.002750147	0.001573772	0.003546254	0.00399562	0.003123472	0.001841533	0.004294332	0.035866072	0.00175684	0.004175568	0.004102561	0.003865373	0.002707273	0.001619193
TCGA-VQ-A8PP-01A	0.137818663	0.001841147	0.003392233	0.002384818	0.00396094	0.234889436	0.003112321	0.004191695	0.001811936	0.002898342	0.003140848	0.005289506	0.002671192	0.005038499	0.013289837	0.007336433	0.000796873	0.013411022	0.052793005	0.002194486	0.006923665	0.014559709	0.002305968	0.004885963	0.062893483	0.108394356	0.001468835	0.012325047	0.002496086	0.002892706	0.017577526	0.001213335	0.002606547	0.002258248	0.005097451	0.003519969	0.007861213	0.00399898	0.00197071	0.003032453	0.002283362	0.008123975	0.004691149	0.001804987	0.003107333	0.002201089	0.009486285	0.004817116	0.030558706	0.004776136	0.011256522	0.001916786	0.000999109	0.00216628	0.00209725	0.001844322	0.001092786	0.002297051	0.120070904	0.002809374	0.001946403	0.002420804	0.002484469	0.002997583	0.001204736
TCGA-BR-4362-01A	0.278793039	0.002107788	0.004250788	0.002611707	0.00465542	0.14603381	0.002871639	0.002716145	0.002162554	0.003484405	0.003487969	0.003764576	0.002482947	0.004570423	0.002703177	0.009868801	0.001263341	0.008852162	0.066418942	0.003414627	0.015038094	0.047428686	0.002752072	0.005974495	0.028780154	0.072296121	0.003123636	0.004797705	0.00208773	0.005526621	0.064264933	0.001931075	0.001792976	0.002462808	0.00342689	0.003156678	0.00347272	0.005283596	0.002511384	0.004364287	0.00254859	0.006735883	0.00328777	0.003078044	0.003628081	0.002786294	0.007187547	0.002925887	0.050340028	0.003226746	0.011612651	0.001779465	0.000908559	0.001380046	0.001926434	0.002243324	0.00119848	0.002693972	0.040057347	0.001737901	0.002003934	0.002427167	0.002281729	0.00368364	0.001333558
TCGA-HU-A4H4-01A	0.11935322	0.004200433	0.006384129	0.005207582	0.009202974	0.065432934	0.003973848	0.004520323	0.003126316	0.005828013	0.006579842	0.008892625	0.00244967	0.005503443	0.004994794	0.020093011	0.002569265	0.014822246	0.053545891	0.006849527	0.030156546	0.036356791	0.004605057	0.007946227	0.045110501	0.153801026	0.004432926	0.009952325	0.004990167	0.007419224	0.070835321	0.002927998	0.004771306	0.005216634	0.006737527	0.007322783	0.008654165	0.006406038	0.002704583	0.00539966	0.004062864	0.013888264	0.007676043	0.004687354	0.006044851	0.004137811	0.0136938	0.011185221	0.046596222	0.00686547	0.015241826	0.004476342	0.00137177	0.002376311	0.003861827	0.005343528	0.001992097	0.004552179	0.034530203	0.003322881	0.002648392	0.004794652	0.005513283	0.008884042	0.002975875
TCGA-BR-A4QL-01A	0.347520005	0.002455199	0.00390877	0.002883515	0.005587277	0.227202186	0.005395044	0.005075778	0.00189662	0.006050035	0.003006254	0.003507897	0.003598287	0.015484333	0.005510917	0.011177689	0.00205516	0.017181772	0.026426213	0.00652201	0.00722528	0.00589474	0.002350859	0.007302181	0.027439504	0.018313245	0.002179631	0.007101882	0.001946661	0.004282898	0.027160765	0.001954062	0.001677626	0.002199968	0.009746538	0.003469656	0.006488876	0.003805473	0.004961286	0.003203243	0.002437479	0.00339857	0.003217716	0.002829604	0.003448312	0.002785128	0.006402411	0.002014115	0.020983994	0.004377199	0.008541715	0.002196928	0.002292732	0.002121609	0.00241922	0.002344539	0.001318651	0.002412521	0.061519324	0.002094939	0.002490451	0.002382033	0.001977448	0.001842922	0.001001106
TCGA-CG-4460-01A	0.441372708	0.001210158	0.004762817	0.001935724	0.004033973	0.203925009	0.002346243	0.002791945	0.001041281	0.002899552	0.002168942	0.002409828	0.001537384	0.043278656	0.002737725	0.004487612	0.002173777	0.007772338	0.021051466	0.003008185	0.001657787	0.006340199	0.001994461	0.006194807	0.047762285	0.04707413	0.001278008	0.004895626	0.001954252	0.002264066	0.010926935	0.001232024	0.001618004	0.002015269	0.002465489	0.00282546	0.002322602	0.003491437	0.001434116	0.002872129	0.001807585	0.003414694	0.001908065	0.004042903	0.002964639	0.001969047	0.004667181	0.001853761	0.023362282	0.002157727	0.003565469	0.002103577	0.001124877	0.000719997	0.002204005	0.001606019	0.001162364	0.001576574	0.018694852	0.00159787	0.001566824	0.001541968	0.001611602	0.002363879	0.00084783
TCGA-BR-7707-01A	0.230461305	0.003566491	0.003121665	0.002716689	0.004337062	0.221037551	0.003752537	0.002845603	0.001561248	0.003935597	0.002730089	0.002715896	0.001895114	0.013192309	0.006584228	0.015109535	0.00106036	0.007868184	0.027273859	0.002943444	0.005091946	0.022733857	0.002577058	0.003131539	0.064494556	0.083610446	0.001255943	0.005720141	0.003039608	0.002663794	0.037514573	0.001349557	0.001873675	0.003211706	0.005747976	0.002531463	0.009478137	0.00631763	0.002180436	0.002818951	0.002099024	0.003739227	0.002673916	0.002179075	0.002957478	0.001966842	0.007095183	0.002268129	0.044185048	0.003464029	0.015290427	0.001669044	0.001862915	0.002042083	0.002793416	0.002226106	0.001342168	0.002389311	0.059298526	0.00160208	0.00170902	0.002575415	0.002064957	0.003162204	0.00129262
TCGA-BR-4368-01A	0.174903627	0.003546684	0.003514373	0.003142456	0.00505482	0.35924628	0.0057821	0.004135877	0.001856157	0.002885373	0.002785964	0.002378352	0.002059555	0.006067276	0.005494199	0.013017827	0.001968109	0.00726501	0.021916534	0.004693479	0.002700237	0.005297431	0.003953801	0.005033882	0.028279203	0.053617534	0.002009258	0.008427407	0.002458562	0.003893762	0.029351011	0.001544132	0.001365367	0.002986705	0.01099771	0.003034716	0.006616778	0.004626372	0.001942235	0.002900514	0.003742346	0.003095846	0.00419237	0.002170218	0.003464474	0.002661703	0.007865301	0.001537739	0.088709451	0.005095281	0.00728436	0.00173798	0.001479528	0.002434813	0.002647888	0.002154237	0.001876453	0.004080934	0.029161749	0.001301791	0.002124227	0.002125068	0.002090104	0.003374777	0.000840691
TCGA-HU-A4GN-01A	0.260766084	0.002973539	0.00405562	0.003545427	0.005384949	0.194149245	0.005440808	0.00719353	0.001973908	0.003059717	0.003522755	0.003076745	0.002172716	0.016238932	0.011305502	0.010277865	0.001398708	0.014568012	0.057971851	0.00619496	0.003511622	0.006064659	0.002791655	0.005775075	0.087287169	0.021232362	0.001768848	0.011865759	0.002902886	0.003330376	0.028399376	0.001446103	0.001627589	0.00329377	0.00694311	0.004379309	0.006620499	0.012147377	0.001612597	0.004148317	0.002733422	0.003572068	0.00607034	0.002594795	0.003572966	0.002199122	0.009837188	0.002074999	0.028311501	0.006341751	0.007004248	0.002290322	0.001295903	0.004043974	0.004550472	0.002235546	0.001430018	0.003531578	0.05955146	0.002006451	0.001972424	0.002880491	0.003743085	0.002595775	0.001140769
