	cancer_type	ms	GDSC.msi.call	CCLE.MSI.call	total_mut	indel	C_A	C_T	C_G	T_A	T_C	T_G	MLH1	MSH2	MSH6	PMS2	MLH1_exp	MSH2_exp	MSH6_exp	PMS2_exp	MSH2_1_methy	MSH2_2_methy	MSH6_1_methy	MSH6_2_methy	MSH6_3_methy	MSH6_4_methy	MLH1_methy	PMS2_1_methy	PMS2_2_methy	MSH6_pro	PMS2_pro	MLH1_pro	MSH2_pro	MLH1_exp_z	PMS2_exp_z	MSH2_exp_z	MSH6_exp_z	sigA	sigB	muts
ACH-000770	Leukemia	MSI-high	MSI-H	inferred-MSI	830	112	0.160240964	0.461445783	0.054216867	0.034939759	0.253012048	0.036144578	NA	NA	NA	Nonsense_Mutation	6.155425432	5.174326515	5.687900522	2.813524689	1	0.025	0.97694	0.03627	0.8569	0.98801	0.00481	0.00153	0	NA	NA	NA	NA	1.205587893	-1.447754024	0.391899825	0.77449586	0.586631122	0.413368878	0
ACH-000782	Leukemia	MSI	NA	inferred-MSI	688	67	0.069767442	0.568313953	0.034883721	0.031976744	0.263081395	0.031976744	NA	NA	NA	Nonsense_Mutation	5.690417096	5.85698569	7.180008583	1.989139007	1	0.02588	0.43121	0.02667	0.99647	0.78448	0.03234	0.02103	0	0.262966659	-2.289434937	0.060375933	0.571054604	0.997963349	-2.732867924	0.953003495	1.99178682	0.626349919	0.373650081	0
ACH-001345	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	6430	777	0.062674961	0.386469673	0.018662519	0.081337481	0.423172628	0.027682737	NA	Nonsense_Mutation	Missense_Mutation;Frame_Shift_Ins	Missense_Mutation	4.800123353	3.759155834	3.929790998	2.871843649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.600450408	-1.35684208	-0.771283053	-0.6598043	0.29617618	0.70382382	Double
ACH-000811	Ovarian Cancer	MSI-high	MSI-H	inferred-MSI	797	87	0.121706399	0.493099122	0.050188206	0.028858218	0.274780427	0.031367629	NA	NA	NA	NA	0.722466024	5.30487605	5.325170512	2.435628594	1	0.00359	0.94677	0.01598	0.8514	0.92715	0	0.00212	NA	NA	NA	NA	NA	-1.220208867	-2.036846648	0.499203478	0.478573619	0.535214028	0.464785972	0
ACH-000856	Breast Cancer	MSI-low	MSS/MSI-L	inferred-MSI	954	193	0.136268344	0.56918239	0.030398323	0.022012579	0.214884696	0.027253669	NA	NA	NA	NA	0.378511623	6.4747605	6.152183419	4.033863452	NA	0.00422	1	0.02849	0.93388	0.92727	0.81732	0.01082	NA	0.264527076	-0.794666819	-1.15299203	0.329944323	-1.373783265	0.454601076	1.460776225	1.153266934	0.672378481	0.327621519	0
ACH-000864	Endometrial/Uterine Cancer	MSI-high	MSI-H	inferred-MSI	945	192	0.112169312	0.439153439	0.039153439	0.035978836	0.331216931	0.042328042	NA	NA	NA	NA	0.389566812	5.963011648	6.216260837	4.111031312	1	0.04293	0.99601	0.05991	0.87042	0.98	0.91728	0.01658	NA	NA	NA	NA	NA	-1.368847164	0.574896094	1.040150282	1.205542546	0.464642785	0.535357215	0
ACH-000866	Lung Cancer	MSI-high	MSI-H	inferred-MSI	983	195	0.109867752	0.546286877	0.048830112	0.024415056	0.209562564	0.06103764	NA	NA	NA	NA	0.201633861	6.076815597	5.908572759	3.914564523	NA	0	1	0	NA	1	0	0.20325	NA	0.278752839	NA	-0.814174243	0.282194507	-1.452758548	0.268629007	1.133690098	0.95452459	0.642307874	0.357692126	0
ACH-000874	Leukemia	MSI-high	MSI-H	inferred-MSI	1376	45	0.037063953	0.801598837	0.015261628	0.015261628	0.117005814	0.01380814	NA	NA	NA	Missense_Mutation	4.258518925	3.718087584	6.574858391	1.014355293	1	0.04112	0.76526	0.02659	1	0.90886	0	0.00256	0	NA	NA	NA	NA	0.358625986	-4.252433497	-0.805038617	1.498093449	0.882961936	0.117038064	0
ACH-000879	Endometrial/Uterine Cancer	MSI-high	MSI-H	inferred-MSI	1146	277	0.157940663	0.554973822	0.043630017	0.02617801	0.184118674	0.033158813	NA	NA	Missense_Mutation	NA	0.097610797	5.972462907	5.544114402	4.049630768	1	0.01061	0.81856	0.0015	0.15545	0.81114	0.93618	0	NA	-1.048264252	-1.417996254	-1.975460716	-0.913216694	-1.49920447	0.479180344	1.047918634	0.657192329	0.713731124	0.286268876	0
ACH-000885	Ovarian Cancer	MSI-high	MSI-H	inferred-MSI	1184	385	0.125844595	0.612331081	0.032094595	0.025337838	0.174831081	0.029560811	NA	NA	NA	NA	0.378511623	4.734438666	5.033863452	3.781359714	1	0	1	0.00779	0.71741	0.9939	0.79375	0	0	NA	NA	NA	NA	-1.373783265	0.060979412	0.030339187	0.240919617	0.747084534	0.252915466	0
ACH-000895	Colon/Colorectal Cancer	MSI	NA	inferred-MSI	1292	332	0.121517028	0.648606811	0.030185759	0.024767802	0.150928793	0.023993808	Missense_Mutation	NA	NA	NA	0.201633861	4.830356747	4.827819025	3.814550423	NA	0.00183	0.0173	0.00586	0.5414	0.60141	0.82287	0.0079	NA	-0.131069886	-2.344634473	-1.600136867	-0.234711635	-1.452758548	0.112719567	0.109177924	0.072824541	0.796951604	0.203048396	0
ACH-000982	Colon/Colorectal Cancer	MSI	NA	inferred-MSI	6160	640	0.062337662	0.394805195	0.018668831	0.077922078	0.421428571	0.024837662	NA	Nonsense_Mutation	NA	Missense_Mutation	5.383013015	4.091699834	4.886550147	4.056583528	NA	0.34145	0.42557	0.02074	0.68488	0.74921	0.0214	0.02015	NA	NA	NA	NA	NA	0.860708538	0.490018826	-0.497952428	0.12073854	0.310143714	0.689856286	Double
