SigB	SigA
TE02	0.998928071899279	0.00107192810072123
TE03	0.97925492600273	0.0207450739972697
TE04	0.933761670673583	0.0662383293264173
TE05	0.987018505670486	0.012981494329514
HAP1_MSH6_30-18	0.846915730098193	0.153084269901807
HAP1_MSH6_30-9	0.860339901406539	0.139660098593461
HAP1_MSH6_30-4	0.830503460149898	0.169496539850103
HAP1_MSH6_30-2	0.849416905284588	0.150583094715411
HAP1_MSH6_30-16	0.853059796820295	0.146940203179705
HAP1_MSH6_30-6	0.865494711207455	0.134505288792545
HAP1_MSH6_30-5	0.877817702132404	0.122182297867596
